year,age,sex,enrolment_jc
1984,17 YRS,MF,8710
1984,17 YRS,F,4960
1984,18 YRS,MF,3927
1984,18 YRS,F,2155
1984,19 YRS,MF,1199
1984,19 YRS,F,503
1984,20 YRS & OVER,MF,74
1984,20 YRS & OVER,F,28
1984,UNDER 17 YRS,MF,7561
1984,UNDER 17 YRS,F,4206
1985,17 YRS,MF,9513
1985,17 YRS,F,5309
1985,18 YRS,MF,4388
1985,18 YRS,F,2450
1985,19 YRS,MF,1498
1985,19 YRS,F,732
1985,20 YRS & OVER,MF,170
1985,20 YRS & OVER,F,61
1985,UNDER 17 YRS,MF,9130
1985,UNDER 17 YRS,F,5178
1986,17 YRS,MF,10907
1986,17 YRS,F,6061
1986,18 YRS,MF,4447
1986,18 YRS,F,2488
1986,19 YRS,MF,1703
1986,19 YRS,F,832
1986,20 YRS & OVER,MF,181
1986,20 YRS & OVER,F,80
1986,UNDER 17 YRS,MF,10360
1986,UNDER 17 YRS,F,5707
1987,17 YRS,MF,11938
1987,17 YRS,F,6607
1987,18 YRS,MF,4445
1987,18 YRS,F,2408
1987,19 YRS,MF,1623
1987,19 YRS,F,849
1987,20 YRS & OVER,MF,286
1987,20 YRS & OVER,F,126
1987,UNDER 17 YRS,MF,11216
1987,UNDER 17 YRS,F,6213
1988,17 YRS,MF,12937
1988,17 YRS,F,7266
1988,18 YRS,MF,4402
1988,18 YRS,F,2442
1988,19 YRS,MF,1534
1988,19 YRS,F,728
1988,20 YRS & OVER,MF,258
1988,20 YRS & OVER,F,118
1988,UNDER 17 YRS,MF,12951
1988,UNDER 17 YRS,F,7201
1989,17 YRS,MF,13682
1989,17 YRS,F,7598
1989,18 YRS,MF,4330
1989,18 YRS,F,2513
1989,19 YRS,MF,1595
1989,19 YRS,F,837
1989,20 YRS & OVER,MF,372
1989,20 YRS & OVER,F,194
1989,UNDER 17 YRS,MF,11750
1989,UNDER 17 YRS,F,6501
1990,17 YRS,MF,12750
1990,17 YRS,F,7114
1990,18 YRS,MF,3641
1990,18 YRS,F,2075
1990,19 YRS,MF,1278
1990,19 YRS,F,720
1990,20 YRS & OVER,MF,323
1990,20 YRS & OVER,F,166
1990,UNDER 17 YRS,MF,11222
1990,UNDER 17 YRS,F,6303
1991,17 YRS,MF,12019
1991,17 YRS,F,6732
1991,18 YRS,MF,3642
1991,18 YRS,F,2176
1991,19 YRS,MF,1037
1991,19 YRS,F,560
1991,20 YRS & OVER,MF,177
1991,20 YRS & OVER,F,90
1991,UNDER 17 YRS,MF,10349
1991,UNDER 17 YRS,F,5771
1992,17 YRS,MF,10996
1992,17 YRS,F,6110
1992,18 YRS,MF,3178
1992,18 YRS,F,1920
1992,19 YRS,MF,1061
1992,19 YRS,F,611
1992,20 YRS & OVER,MF,193
1992,20 YRS & OVER,F,108
1992,UNDER 17 YRS,MF,9235
1992,UNDER 17 YRS,F,5092
1993,17 YRS,MF,9706
1993,17 YRS,F,5358
1993,18 YRS,MF,2846
1993,18 YRS,F,1666
1993,19 YRS,MF,1047
1993,19 YRS,F,597
1993,20 YRS & OVER,MF,215
1993,20 YRS & OVER,F,113
1993,UNDER 17 YRS,MF,10144
1993,UNDER 17 YRS,F,5666
1994,17 YRS,MF,10565
1994,17 YRS,F,5880
1994,18 YRS,MF,2222
1994,18 YRS,F,1324
1994,19 YRS,MF,763
1994,19 YRS,F,422
1994,20 YRS & OVER,MF,168
1994,20 YRS & OVER,F,100
1994,UNDER 17 YRS,MF,9139
1994,UNDER 17 YRS,F,4950
1995,17 YRS,MF,9480
1995,17 YRS,F,5125
1995,18 YRS,MF,2068
1995,18 YRS,F,1183
1995,19 YRS,MF,575
1995,19 YRS,F,323
1995,20 YRS & OVER,MF,90
1995,20 YRS & OVER,F,43
1995,UNDER 17 YRS,MF,9477
1995,UNDER 17 YRS,F,5148
1996,17 YRS,MF,9783
1996,17 YRS,F,5253
1996,18 YRS,MF,1610
1996,18 YRS,F,871
1996,19 YRS,MF,558
1996,19 YRS,F,317
1996,20 YRS & OVER,MF,93
1996,20 YRS & OVER,F,42
1996,UNDER 17 YRS,MF,9814
1996,UNDER 17 YRS,F,5235
1997,17 YRS,MF,10240
1997,17 YRS,F,5451
1997,18 YRS,MF,1309
1997,18 YRS,F,684
1997,19 YRS,MF,351
1997,19 YRS,F,182
1997,20 YRS & OVER,MF,73
1997,20 YRS & OVER,F,41
1997,UNDER 17 YRS,MF,10338
1997,UNDER 17 YRS,F,5705
1998,17 YRS,MF,10891
1998,17 YRS,F,5982
1998,18 YRS,MF,1359
1998,18 YRS,F,698
1998,19 YRS,MF,309
1998,19 YRS,F,160
1998,20 YRS & OVER,MF,39
1998,20 YRS & OVER,F,25
1998,UNDER 17 YRS,MF,10932
1998,UNDER 17 YRS,F,6014
1999,17 YRS,MF,11456
1999,17 YRS,F,6289
1999,18 YRS,MF,1619
1999,18 YRS,F,818
1999,19 YRS,MF,346
1999,19 YRS,F,168
1999,20 YRS & OVER,MF,33
1999,20 YRS & OVER,F,13
1999,UNDER 17 YRS,MF,11380
1999,UNDER 17 YRS,F,6306
2000,17 YRS,MF,11852
2000,17 YRS,F,6538
2000,18 YRS,MF,1761
2000,18 YRS,F,896
2000,19 YRS,MF,351
2000,19 YRS,F,179
2000,20 YRS & OVER,MF,60
2000,20 YRS & OVER,F,30
2000,UNDER 17 YRS,MF,10780
2000,UNDER 17 YRS,F,5863
2001,17 YRS,MF,11207
2001,17 YRS,F,6086
2001,18 YRS,MF,1808
2001,18 YRS,F,927
2001,19 YRS,MF,356
2001,19 YRS,F,154
2001,20 YRS & OVER,MF,66
2001,20 YRS & OVER,F,31
2001,UNDER 17 YRS,MF,10939
2001,UNDER 17 YRS,F,5972
2002,17 YRS,MF,11477
2002,17 YRS,F,6253
2002,18 YRS,MF,1650
2002,18 YRS,F,844
2002,19 YRS,MF,445
2002,19 YRS,F,230
2002,20 YRS & OVER,MF,71
2002,20 YRS & OVER,F,33
2002,UNDER 17 YRS,MF,11733
2002,UNDER 17 YRS,F,6380
2003,17 YRS,MF,12104
2003,17 YRS,F,6558
2003,18 YRS,MF,1784
2003,18 YRS,F,898
2003,19 YRS,MF,402
2003,19 YRS,F,198
2003,20 YRS & OVER,MF,68
2003,20 YRS & OVER,F,38
2003,UNDER 17 YRS,MF,10201
2003,UNDER 17 YRS,F,5514
2004,17 YRS,MF,10635
2004,17 YRS,F,5720
2004,18 YRS,MF,1736
2004,18 YRS,F,849
2004,19 YRS,MF,441
2004,19 YRS,F,201
2004,20 YRS & OVER,MF,82
2004,20 YRS & OVER,F,37
2004,UNDER 17 YRS,MF,11787
2004,UNDER 17 YRS,F,6363
2005,17 YRS,MF,12303
2005,17 YRS,F,6627
2005,18 YRS,MF,1713
2005,18 YRS,F,870
2005,19 YRS,MF,430
2005,19 YRS,F,200
2005,20 YRS & OVER,MF,84
2005,20 YRS & OVER,F,37
2005,UNDER 17 YRS,MF,14371
2005,UNDER 17 YRS,F,7808
2006,17 YRS,MF,15113
2006,17 YRS,F,8192
2006,18 YRS,MF,1965
2006,18 YRS,F,1031
2006,19 YRS,MF,488
2006,19 YRS,F,250
2006,20 YRS & OVER,MF,70
2006,20 YRS & OVER,F,29
2006,UNDER 17 YRS,MF,13090
2006,UNDER 17 YRS,F,7032
2007,17 YRS,MF,14080
2007,17 YRS,F,7549
2007,18 YRS,MF,2426
2007,18 YRS,F,1321
2007,19 YRS,MF,557
2007,19 YRS,F,297
2007,20 YRS & OVER,MF,94
2007,20 YRS & OVER,F,43
2007,UNDER 17 YRS,MF,14470
2007,UNDER 17 YRS,F,7936
2008,17 YRS,MF,15119
2008,17 YRS,F,8240
2008,18 YRS,MF,2741
2008,18 YRS,F,1400
2008,19 YRS,MF,780
2008,19 YRS,F,424
2008,20 YRS & OVER,MF,119
2008,20 YRS & OVER,F,65
2008,UNDER 17 YRS,MF,13820
2008,UNDER 17 YRS,F,7620
2009,17 YRS,MF,14433
2009,17 YRS,F,7924
2009,18 YRS,MF,3015
2009,18 YRS,F,1588
2009,19 YRS,MF,846
2009,19 YRS,F,420
2009,20 YRS & OVER,MF,164
2009,20 YRS & OVER,F,85
2009,UNDER 17 YRS,MF,13652
2009,UNDER 17 YRS,F,7552
2010,17 YRS,MF,14517
2010,17 YRS,F,7976
2010,18 YRS,MF,2936
2010,18 YRS,F,1595
2010,19 YRS,MF,881
2010,19 YRS,F,452
2010,20 YRS & OVER,MF,206
2010,20 YRS & OVER,F,111
2010,UNDER 17 YRS,MF,13880
2010,UNDER 17 YRS,F,7635
2011,17 YRS,MF,14705
2011,17 YRS,F,8045
2011,18 YRS,MF,2996
2011,18 YRS,F,1541
2011,19 YRS,MF,807
2011,19 YRS,F,434
2011,20 YRS & OVER,MF,180
2011,20 YRS & OVER,F,95
2011,UNDER 17 YRS,MF,13608
2011,UNDER 17 YRS,F,7450
2012,17 YRS,MF,14447
2012,17 YRS,F,7901
2012,18 YRS,MF,3010
2012,18 YRS,F,1647
2012,19 YRS,MF,810
2012,19 YRS,F,406
2012,20 YRS & OVER,MF,172
2012,20 YRS & OVER,F,83
2012,UNDER 17 YRS,MF,13648
2012,UNDER 17 YRS,F,7474
2013,17 YRS,MF,14584
2013,17 YRS,F,7945
2013,18 YRS,MF,2963
2013,18 YRS,F,1639
2013,19 YRS,MF,754
2013,19 YRS,F,398
2013,20 YRS & OVER,MF,112
2013,20 YRS & OVER,F,63
2013,UNDER 17 YRS,MF,13752
2013,UNDER 17 YRS,F,7410
2014,17 YRS,MF,14486
2014,17 YRS,F,7758
2014,18 YRS,MF,3034
2014,18 YRS,F,1657
2014,19 YRS,MF,727
2014,19 YRS,F,384
2014,20 YRS & OVER,MF,139
2014,20 YRS & OVER,F,74
2014,UNDER 17 YRS,MF,13227
2014,UNDER 17 YRS,F,7162
2015,17 YRS,MF,13944
2015,17 YRS,F,7525
2015,18 YRS,MF,2762
2015,18 YRS,F,1481
2015,19 YRS,MF,630
2015,19 YRS,F,316
2015,20 YRS & OVER,MF,121
2015,20 YRS & OVER,F,66
2015,UNDER 17 YRS,MF,12102
2015,UNDER 17 YRS,F,6579
2016,17 YRS,MF,12773
2016,17 YRS,F,6916
2016,18 YRS,MF,2551
2016,18 YRS,F,1394
2016,19 YRS,MF,565
2016,19 YRS,F,279
2016,20 YRS & OVER,MF,118
2016,20 YRS & OVER,F,56
2016,UNDER 17 YRS,MF,12435
2016,UNDER 17 YRS,F,6724
2017,17 YRS,MF,12987
2017,17 YRS,F,6984
2017,18 YRS,MF,2168
2017,18 YRS,F,1192
2017,19 YRS,MF,502
2017,19 YRS,F,254
2017,20 YRS & OVER,MF,98
2017,20 YRS & OVER,F,56
2017,UNDER 17 YRS,MF,13497
2017,UNDER 17 YRS,F,7273
2018,UNDER 17 YRS,MF,12420
2018,UNDER 17 YRS,F,6629
2018,17 YRS,MF,14020
2018,17 YRS,F,7483
2018,18 YRS,MF,2062
2018,18 YRS,F,1127
2018,19 YRS,MF,440
2018,19 YRS,F,231
2018,20 YRS & OVER,MF,70
2018,20 YRS & OVER,F,33
